Ovarian	PubMed-28711606.json:0:7	B-Protein
)	PubMed-28711606.json:423:424	O
gene	PubMed-28711606.json:425:429	O
from	PubMed-28711606.json:430:434	O
an	PubMed-28711606.json:435:437	O
N	PubMed-28711606.json:438:439	O
-	PubMed-28711606.json:439:440	O
ethyl	PubMed-28711606.json:440:445	O
-	PubMed-28711606.json:445:446	O
N	PubMed-28711606.json:446:447	O
-	PubMed-28711606.json:447:448	O
nitrosourea	PubMed-28711606.json:448:459	O
-	PubMed-28711606.json:459:460	O
based	PubMed-28711606.json:460:465	O
gene	PubMed-28711606.json:466:470	O
-	PubMed-28711606.json:470:471	O
driven	PubMed-28711606.json:471:477	O
mutagenesis	PubMed-28711606.json:478:489	O
library	PubMed-28711606.json:490:497	O
of	PubMed-28711606.json:498:500	O
the	PubMed-28711606.json:501:504	O
medaka	PubMed-28711606.json:505:511	O
,	PubMed-28711606.json:511:512	O
Oryzias	PubMed-28711606.json:513:520	O
latipes	PubMed-28711606.json:521:528	O
.	PubMed-28711606.json:528:529	O

In	PubMed-28711606.json:530:532	O
XX	PubMed-28711606.json:533:535	O
mutants	PubMed-28711606.json:536:543	O
,	PubMed-28711606.json:543:544	O
gonads	PubMed-28711606.json:545:551	O
first	PubMed-28711606.json:552:557	O
differentiated	PubMed-28711606.json:558:572	O
into	PubMed-28711606.json:573:577	O
normal	PubMed-28711606.json:578:584	O
ovaries	PubMed-28711606.json:585:592	O
containing	PubMed-28711606.json:593:603	O
many	PubMed-28711606.json:604:608	O
ovarian	PubMed-28711606.json:609:616	O
follicles	PubMed-28711606.json:617:626	O
that	PubMed-28711606.json:627:631	O
failed	PubMed-28711606.json:632:638	O
to	PubMed-28711606.json:639:641	O
accumulate	PubMed-28711606.json:642:652	O
yolk	PubMed-28711606.json:653:657	O
.	PubMed-28711606.json:657:658	O

Subsequently	PubMed-28711606.json:659:671	O
,	PubMed-28711606.json:671:672	O
ovarian	PubMed-28711606.json:673:680	O
tissues	PubMed-28711606.json:681:688	O
underwent	PubMed-28711606.json:689:698	O
extensive	PubMed-28711606.json:699:708	O
degeneration	PubMed-28711606.json:709:721	O
,	PubMed-28711606.json:721:722	O
followed	PubMed-28711606.json:723:731	O
by	PubMed-28711606.json:732:734	O
the	PubMed-28711606.json:735:738	O
appearance	PubMed-28711606.json:739:749	O
of	PubMed-28711606.json:750:752	O
testicular	PubMed-28711606.json:753:763	O
tissues	PubMed-28711606.json:764:771	O
on	PubMed-28711606.json:772:774	O
the	PubMed-28711606.json:775:778	O
dorsal	PubMed-28711606.json:779:785	O
side	PubMed-28711606.json:786:790	O
of	PubMed-28711606.json:791:793	O
ovaries	PubMed-28711606.json:794:801	O
.	PubMed-28711606.json:801:802	O

In	PubMed-28711606.json:803:805	O
the	PubMed-28711606.json:806:809	O
newly	PubMed-28711606.json:810:815	O
formed	PubMed-28711606.json:816:822	O
testicular	PubMed-28711606.json:823:833	O
tissue	PubMed-28711606.json:834:840	O
,	PubMed-28711606.json:840:841	O
strong	PubMed-28711606.json:842:848	O
expression	PubMed-28711606.json:849:859	O
of	PubMed-28711606.json:860:862	O
gsdf	PubMed-28711606.json:863:867	O
was	PubMed-28711606.json:868:871	O
detected	PubMed-28711606.json:872:880	O
in	PubMed-28711606.json:881:883	O
sox9a2	PubMed-28711606.json:884:890	O
-	PubMed-28711606.json:890:891	O
positive	PubMed-28711606.json:891:899	O
somatic	PubMed-28711606.json:900:907	O
cells	PubMed-28711606.json:908:913	O
surrounding	PubMed-28711606.json:914:925	O
germline	PubMed-28711606.json:926:934	O
stem	PubMed-28711606.json:935:939	O
cells	PubMed-28711606.json:940:945	O
suggesting	PubMed-28711606.json:946:956	O
that	PubMed-28711606.json:957:961	O
gsdf	PubMed-28711606.json:962:966	O
plays	PubMed-28711606.json:967:972	O
an	PubMed-28711606.json:973:975	O
important	PubMed-28711606.json:976:985	O
role	PubMed-28711606.json:986:990	O
in	PubMed-28711606.json:991:993	O
testicular	PubMed-28711606.json:994:1004	O
differentiation	PubMed-28711606.json:1005:1020	O
during	PubMed-28711606.json:1021:1027	O
estrogen	PubMed-28711606.json:1028:1036	O
-	PubMed-28711606.json:1036:1037	O
depleted	PubMed-28711606.json:1037:1045	O
female	PubMed-28711606.json:1046:1052	O
-	PubMed-28711606.json:1052:1053	O
to	PubMed-28711606.json:1053:1055	O
-	PubMed-28711606.json:1055:1056	O
male	PubMed-28711606.json:1056:1060	O
sex	PubMed-28711606.json:1061:1064	O
reversal	PubMed-28711606.json:1065:1073	O
.	PubMed-28711606.json:1073:1074	O

We	PubMed-28711606.json:1075:1077	O
conclude	PubMed-28711606.json:1078:1086	O
that	PubMed-28711606.json:1087:1091	O
endogenous	PubMed-28711606.json:1092:1102	O
estrogens	PubMed-28711606.json:1103:1112	O
synthesized	PubMed-28711606.json:1113:1124	O
after	PubMed-28711606.json:1125:1130	O
fertilization	PubMed-28711606.json:1131:1144	O
are	PubMed-28711606.json:1145:1148	O
not	PubMed-28711606.json:1149:1152	O
essential	PubMed-28711606.json:1153:1162	O
for	PubMed-28711606.json:1163:1166	O
early	PubMed-28711606.json:1167:1172	O
ovarian	PubMed-28711606.json:1173:1180	O
differentiation	PubMed-28711606.json:1181:1196	O
but	PubMed-28711606.json:1197:1200	O
are	PubMed-28711606.json:1201:1204	O
critical	PubMed-28711606.json:1205:1213	O
for	PubMed-28711606.json:1214:1217	O
the	PubMed-28711606.json:1218:1221	O
maintenance	PubMed-28711606.json:1222:1233	O
of	PubMed-28711606.json:1234:1236	O
adult	PubMed-28711606.json:1237:1242	O
ovaries	PubMed-28711606.json:1243:1250	O
.	PubMed-28711606.json:1250:1251	O
